Talk Title,Talk Author,Lds Link,Youtubue Link,BYU Speeches Link ,Date
The Triumph of Hope,Neil L. Andersen,https://www.churchofjesuschrist.org/study/general-conference/2024/10/12andersen?lang=eng,,,
Following Christ,Dallin H. Oaks,https://www.churchofjesuschrist.org/study/general-conference/2024/10/18oaks?lang=eng,,,
Welcome to the Church of Joy,Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2024/10/24kearon?lang=eng,,,
Simple Is the Doctrine of Jesus Christ,Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2024/10/47eyring?lang=eng,,,
"Nourish the Roots, and the Branches Will Grow",Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2024/10/51uchtdorf?lang=eng,,,
The Lord Jesus Christ Will Come Again,Russell M. Nelson,https://www.churchofjesuschrist.org/study/general-conference/2024/10/57nelson?lang=eng,,,
As a Little Child,Jeffrey R. Holland,https://www.churchofjesuschrist.org/study/general-conference/2025/04/13holland?lang=eng,,,
Draw Near unto Me,Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2025/04/18eyring?lang=eng,,,
By This All Will Know That You Are My Disciples,Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2025/04/27uchtdorf?lang=eng,,,
"Your Repentance Doesn't Burden Jesus Christ; It Brightens His Joy",Tamara W. Runia,https://www.churchofjesuschrist.org/study/general-conference/2025/04/43runia?lang=eng,,,
Receive His Gift,Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2025/04/55kearon?lang=eng,,,
Confidence in the Presence of God,Russell M. Nelson,https://www.churchofjesuschrist.org/study/general-conference/2025/04/57nelson?lang=eng,,,
Do Your Part with All Your Heart,Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2025/10/16uchtdorf?lang=eng,,,
No One Sits Alone,Gerrit W. Gong,https://www.churchofjesuschrist.org/study/general-conference/2025/10/25gong?lang=eng,,,
Jesus Christ and Your New Beginning,Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2025/10/31kearon?lang=eng,,,
Look to God and Live,D. Todd Christofferson,https://www.churchofjesuschrist.org/study/general-conference/2025/10/45christofferson?lang=eng,,,
Proved and Strengthened in Christ,Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2025/10/47eyring?lang=eng,,,
About His Business,Patrick Kearon,https://www.churchofjesuschrist.org/study/general-conference/2026/04/13kearon?lang=eng,,,
All Who Have Endured Valiantly,David A. Bednar,https://www.churchofjesuschrist.org/study/general-conference/2026/04/16bednar?lang=eng,,,
Prayers for Peace,Henry B. Eyring,https://www.churchofjesuschrist.org/study/general-conference/2026/04/19eyring?lang=eng,,,
Encounter at the Empty Tomb,Dieter F. Uchtdorf,https://www.churchofjesuschrist.org/study/general-conference/2026/04/41uchtdorf?lang=eng,,,
Because of Jesus Christ,Dale G. Renlund,https://www.churchofjesuschrist.org/study/general-conference/2026/04/46renlund?lang=eng,,,
Alive in Christ,Dallin H. Oaks,https://www.churchofjesuschrist.org/study/general-conference/2026/04/49oaks?lang=eng,,,
